SUBJECT(1:35); TRIAL(1:89); SETSIZE(0:1000); SERPOS(0:1000); TRTYPE(0:1000); REP(0:1000); ANSAC(0:2); ANSSE(0:1000); ANSRT(0:32767); RECALLAC(0:2); RECALLRT(0:32767); HAND(0:1000)
26 64 5 5 1 1 1 1 779 0 4365 1
26 65 6 2 2 1 1 2 816 0 2596 1
26 66 2 2 2 1 1 2 507 1 1091 1
26 67 5 4 1 2 1 1 797 0 3039 1
26 68 4 2 1 2 1 1 570 1 1751 1
26 69 2 1 1 2 1 1 416 1 1254 1
26 70 5 5 2 1 1 2 872 1 1985 1
26 71 3 2 1 1 1 1 631 1 1318 1
26 72 5 3 1 2 1 1 733 1 2414 1
26 73 6 4 1 1 1 1 722 1 2994 1
26 74 5 2 1 1 1 1 619 1 2006 1
26 75 6 2 2 2 1 2 1077 0 2446 1
26 76 1 1 1 2 1 1 477 1 937 1
26 77 6 3 1 2 1 1 849 1 2316 1
26 78 4 2 1 1 1 1 968 1 1918 1
26 79 5 2 1 2 1 1 730 1 1990 1
26 80 3 1 1 1 1 1 632 1 1363 1
26 81 5 3 1 1 1 1 693 1 1859 1
26 82 2 1 1 1 1 1 411 1 1096 1
26 83 6 2 1 1 1 1 1363 1 2180 1
26 84 6 1 1 1 1 1 744 1 2665 1
26 85 6 3 2 2 1 2 1041 1 2364 1
26 86 5 4 2 1 1 2 820 1 1988 1
26 87 4 4 1 2 1 1 707 1 1443 1
26 88 4 3 1 1 1 1 753 1 1574 1
15 1 3 2 1 2 1 1 1891 1 3865 1
15 2 1 1 2 1 1 2 1385 1 2173 1
15 3 5 4 1 2 1 1 1556 1 2323 1
15 4 4 3 2 1 1 2 1466 1 2237 1
15 5 4 2 1 2 1 1 1243 1 1597 1
15 6 4 2 2 2 1 2 926 1 2135 1
15 7 6 5 1 1 1 1 1042 1 2597 1
15 8 5 4 2 2 1 2 911 1 1881 1
15 9 4 2 2 1 1 2 708 1 2639 1
15 10 3 2 1 2 1 1 834 1 1460 1
15 11 3 2 1 1 1 1 1036 1 2890 1
15 12 1 1 2 2 1 2 744 1 1130 1
15 13 6 6 1 2 1 1 905 1 2512 1
15 14 6 5 2 1 1 2 674 1 2510 1
15 15 5 3 2 1 1 2 638 1 2140 1
15 16 3 1 1 1 1 1 679 1 1356 1
15 17 5 1 2 2 1 2 606 1 2220 1
15 18 5 2 1 2 1 1 829 1 2173 1
15 19 4 3 1 1 1 1 796 1 4193 1
15 20 4 1 1 1 1 1 608 1 1647 1
15 21 2 2 1 2 1 1 505 1 1272 1
15 22 3 1 2 2 1 2 666 1 2776 1
15 23 6 2 2 2 1 2 945 1 3871 1
15 24 5 5 1 1 1 1 642 1 3554 1
15 25 6 5 2 2 1 2 631 1 2145 1
15 26 2 1 2 2 1 2 550 1 1312 1
15 27 3 2 2 2 1 2 669 1 1629 1
15 28 5 2 2 2 1 2 600 1 2049 1
15 29 6 1 2 1 1 2 723 0 2470 1
15 30 3 3 1 1 1 1 813 1 1634 1
15 31 1 1 1 1 1 1 612 1 944 1
15 32 5 5 2 2 1 2 853 1 2421 1
15 33 6 2 1 1 1 1 771 1 2208 1
15 34 4 2 1 1 1 1 787 1 1957 1
15 35 5 4 1 1 1 1 656 1 2320 1
15 36 2 1 2 1 1 2 599 1 1359 1
15 37 5 2 1 1 1 1 732 1 1858 1
15 38 6 4 1 1 1 1 627 1 3850 1
15 39 5 1 2 1 1 2 548 1 1829 1
15 40 5 4 1 2 1 1 694 1 4998 1
15 41 5 3 1 2 1 1 643 1 2005 1
15 42 2 2 1 1 1 1 595 1 1414 1
15 43 5 3 2 2 1 2 540 1 2196 1
15 44 6 5 1 2 1 1 722 1 2062 1
15 45 4 3 2 1 1 2 699 1 1456 1
15 46 6 4 1 2 1 1 542 1 2099 1
15 47 5 1 1 1 1 1 921 1 1902 1
15 48 3 2 2 1 1 2 624 1 1372 1
15 49 6 3 1 1 1 1 633 1 2569 1
15 50 4 3 1 2 1 1 664 1 1767 1
15 51 3 1 2 1 1 2 805 1 1278 1
15 52 5 1 1 2 1 1 688 1 2595 1
15 53 6 1 1 2 1 1 763 1 4338 1
15 54 4 1 2 2 1 2 790 1 2840 1
15 55 6 6 1 1 1 1 631 1 2328 1
15 56 6 4 2 2 1 2 670 1 2446 1
15 57 5 2 2 1 1 2 709 1 2014 1
15 58 2 2 2 1 1 2 602 1 2132 1
15 59 4 1 2 1 1 2 749 1 3685 1
15 60 6 4 2 1 1 2 674 1 3920 1
15 61 4 4 1 1 1 1 526 1 1878 1
15 62 5 3 1 1 1 1 1000 1 2867 1
15 63 4 3 2 2 1 2 616 1 1731 1
15 64 1 1 1 2 1 1 526 1 959 1
15 65 4 4 2 2 1 2 529 1 1639 1
15 66 3 3 1 2 1 1 670 1 1771 1
15 67 6 2 1 2 1 1 673 1 2914 1
15 68 3 1 1 2 1 1 468 1 1677 1
15 69 6 6 2 2 1 2 806 1 2319 1
15 70 2 1 1 2 1 1 776 0 1135 1
15 71 3 3 2 2 1 2 623 1 1734 1
15 72 2 2 2 2 1 2 506 1 1275 1
15 73 6 3 2 2 1 2 584 1 2746 1
15 74 2 1 1 1 1 1 647 1 2134 1
15 75 4 4 1 2 1 1 744 1 1913 1
15 76 6 1 2 2 1 2 678 1 3827 1
15 77 6 6 2 1 1 2 627 1 3461 1
15 78 6 3 1 2 1 1 905 1 2602 1
15 79 5 4 2 1 1 2 727 1 2592 1
15 80 1 1 2 1 1 2 558 1 949 1
15 81 5 5 2 1 1 2 643 1 1882 1
15 82 6 2 2 1 1 2 759 1 2719 1
15 83 6 3 2 1 1 2 657 1 2235 1
